Hämtat 2026-08-27 – fönster: senaste dygnet (24 timmar)
Station: Ö24 Simrishamn 
Artrikedom: 29

Arter i datan (namn + aktivitet):
  - ladusvala  [Hirundo rustica]  (ofta hord)
  - ringduva  [Columba palumbus]  (hordes en del)
  - råka  [Corvus frugilegus]  (hordes en del)
  - kaja  [Corvus monedula]  (enstaka)
  - grågås  [Anser anser]  (enstaka)
  - sädesärla  [Motacilla alba]  (enstaka)
  - turkduva  [Streptopelia decaocto]  (enstaka)
  - gråsparv  [Passer domesticus]  (enstaka)
  - stare  [Sturnus vulgaris]  (enstaka)
  - kråka  [Corvus cornix]  (enstaka)
  - pilfink  [Passer montanus]  (enstaka)
  - gråtrut  [Larus argentatus]  (enstaka)
  - blåmes  [Cyanistes caeruleus]  (enstaka)
  - steglits  [Carduelis carduelis]  (enstaka)
  - fisktärna  [Sterna hirundo]  (enstaka)
  - gråhäger  [Ardea cinerea]  (enstaka)
  - hussvala  [Delichon urbicum]  (enstaka)
  - hämpling  [Linaria cannabina]  (enstaka)
  - koltrast  [Turdus merula]  (enstaka)
  - bläsgås  [Anser albifrons]  (enstaka)
  - gransångare  [Phylloscopus collybita]  (enstaka)
  - skata  [Pica pica]  (enstaka)
  - stenknäck  [Coccothraustes coccothraustes]  (enstaka)
  - kanadagås  [Branta canadensis]  (enstaka)
  - gulärla  [Motacilla flava]  (enstaka)
  - skogssnäppa  [Tringa ochropus]  (enstaka)
  - skräntärna  [Hydroprogne caspia]  (enstaka)
  - grönbena  [Tringa glareola]  (enstaka)
  - silvertärna  [Sterna paradisaea]  (enstaka)
